,Title,Price,Category,Subcategory,Location,City,Condition,Brand
135,Nintendo Joy-Con (L/R) - Neon Red/Neon Blue,95000.0,Video Game Consoles,video-games-and-consoles,Lagos State,Ikeja,Brand New,
136,Winford Speaker Crossover Wf-3325 3-way,28000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Surulere,Brand New,
137,Laptop Lenovo ThinkPad X1 Carbon 8GB Intel Core I5 SSD 128GB,245000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ajah,Used,Lenovo
138,Cametv 1 to 7 Wireless Intercon System ,1350000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ojo,,
139,Smart App Control Exit Relay Switch,14200.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Isolo,,
140,Projector Hanger - Normal One - Long Length,12000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
141,Starlink Mini,350000.0,Networking Products,networking-products,Lagos State,Ikeja,Brand New,
142,Yamaha Power Amplifier P7000s,240000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ikeja,Brand New,
143,Laserjet Pro P1102,190000.0,Printers & Scanners,printers-and-scanners,Lagos State,Ikeja,Brand New,
144,Original Sonok Wireless Pa System Big Battery Speaker 5000w,120000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ojo,Brand New,
145,E88 Wifi Foldable Pocket Drone Camera,55000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ikeja,,
146,Profile Lights for Staircase Automation and Pop Designs,13000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Abuja (FCT),Gudu,,
147,Spray Perfume Self Defense,5000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ikeja,,
148,New Desktop Computer Lenovo 8GB Intel Core I5 HDD 500GB,650000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ikeja,Brand New,Lenovo
149,Phomemo Q30 Label Printer,25000.0,Printers & Scanners,printers-and-scanners,Lagos State,Surulere,Brand New,
150,Blue Gate 6kva Ups Online Hfi. Bg6kva,1300000.0,Computer Hardware,computer-hardware,Lagos State,Ikeja,Brand New,
151,Smart Lock Biometric Fingerprint Door Lock,70000.0,Security & Surveillance,security-and-surveillance,Lagos State,Isolo,,
152,Playstation 4 Games,25000.0,Video Games,videogames,Lagos State,Oshodi,Used,
153,Professional Scarlet 2i2 3rd Generation,145000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Mushin,Brand New,
154,V380 Pro Security PTZ 4g Dual Lens Camera,65000.0,Security & Surveillance,security-and-surveillance,Rivers State,Port-Harcourt,,
155,Birdsinger UMC-202 Sound Card,87000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Mushin,Brand New,
156,Logitech Pod and Hub,1000000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
157,Bitdefender Antivirus Plus 1/2/3/5/10 Devices 1 Year,27000.0,Software,computer-software,Lagos State,Ikeja,,
158,Office 2021 Pro Plus 1 User,6000.0,Software,computer-software,Lagos State,Ikeja,,
159,4g Solar CCTV Camera With Street Light,125000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ikeja,,
160,"Mouse Pad XXL (Red, 600mm X 300mm X 2mm)",6500.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Brand New,
161,New Laptop HP Pavilion 15 16GB Intel Core I5 HDD+SSD 512GB,850000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ikeja,Brand New,HP
162,HP 290 Desktop Tower Power Pack,20000.0,Computer Hardware,computer-hardware,Lagos State,Ikeja,Brand New,HP
163,24 Inches Ips Dell Frameless Monitor,95000.0,Computer Monitors,computer-monitors,Lagos State,Ojo,Used,Dell
164,Spiral Eclipse Chandelier,70000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ojo,,
165,Smart Led Tv,480000.0,TV & DVD Equipment,tv-dvd-equipment,Abuja (FCT),Kaura,Brand New,
166,Game Ready Hard Drive,30000.0,Computer Hardware,computer-hardware,Lagos State,Ikeja,Brand New,
167,JBL Single Speaker Srx715,340000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ikeja,Brand New,
168,Hp 24ea Ultra Slim Ips Frameless Monitor 24-Inch,170000.0,Computer Monitors,computer-monitors,Lagos State,Ikeja,Used,HP
169,Rechargeable Podium,755000.0,Audio & Music Equipment,audio-and-music-equipment,Abuja (FCT),Wuse,Brand New,
170,"Infinity Hydrive  8""X2 And 18""X1 Line Array Sound System",2200000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ojo,Brand New,
171,Original Sunbuck 100watts Bluetooth Usb Amplifier.,85000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ojo,Brand New,
172,Canon Eos1100d DSLR Camera and 18-55mm Lens,250000.0,Photo & Video Cameras,cameras-video-cameras-and-accessories,Kaduna State,Zaria,Used,
173,"Virgin Gmx-210a Active 10""X 2 Line Array Sound System",3300000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ojo,Brand New,
174,New Laptop MSI GF75 Thin 16GB Intel Core I7 SSD 512GB,1800000.0,Laptops & Computers,computers-and-laptops,Abuja (FCT),Wuse,Brand New,
175,Music Reading Stand,15500.0,Audio & Music Equipment,audio-and-music-equipment,Abuja (FCT),Wuse,Brand New,
176,Original Sound Prince Speaker Model 124,950000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ojo,Brand New,
177,We Sell All Types of Hp Toners Ink,500.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikoyi,,HP
178,Laptop Dell Latitude 7400 16GB Intel Core I7 SSD 128GB,435000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ajah,Used,Dell
179,Electric Fence Energizer,180000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ikeja,,
180,Digital Voice Recorder,18000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Surulere,Brand New,
181,$100 USD Amazon Gift Cards And More Available,175000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Abuja (FCT),Central Business District,,
182,Musical Keyboard Stand,21500.0,Audio & Music Equipment,audio-and-music-equipment,Abuja (FCT),Wuse,Brand New,
183,Logitech M350 Pebble Bluetooth Wireless Mouse - Silent,35050.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Brand New,
184,Blink Mini Indoor Plug-in Smart Camera 1080p,50000.0,Security & Surveillance,security-and-surveillance,Abuja (FCT),Gwarinpa,,
185,30m Usb to Usb Cable With Boaster,20000.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Brand New,
186,Laptop Apple MacBook Pro 2012 8GB Intel Core I5 HDD 500GB,150000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ikeja,Used,Apple
187,Scarett 2i2 Focusrite,140000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Mushin,Brand New,
188,5 in 1 Microphone Wireless Bluetooth With Led Lights,10000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Lagos Island (Eko),Brand New,
189,Ultra Short Throw Digital Epson Hd Projector Lagos Ikeja,90000.0,TV & DVD Equipment,tv-dvd-equipment,Lagos State,Ikeja,Used,
190,Uk Used Mitsubishi Projector With 4500 Lumens,115000.0,TV & DVD Equipment,tv-dvd-equipment,Lagos State,Ikeja,Used,
191,4g Solar CCTV Camera – V380 Pro Wireless Security Camera,75000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ikeja,,
192,Solar Camera Suitable for Any Place and Very Affordable,95000.0,Security & Surveillance,security-and-surveillance,Rivers State,Port-Harcourt,Brand New,
193,OMEN Spacer TKL Wireless Gaming Keyboard,85000.0,Computer Accessories ,computer-accessories,Lagos State,Ikeja,Brand New,Acer
194,Electric Fence Wire Installation Experts | Nationwide Services,200000.0,Security & Surveillance,security-and-surveillance,Ogun State,Sagamu,,
195,24/7 Security With Solar PTZ Cameras | Installation Supp,27000.0,Security & Surveillance,security-and-surveillance,Ogun State,Sagamu,Brand New,
196,Sony Fx3 Cinema Line,4400000.0,Photo & Video Cameras,cameras-video-cameras-and-accessories,Abuja (FCT),Garki 2,Used,Sony
197,2kva Bluegate Ups,140000.0,Computer Hardware,computer-hardware,Lagos State,Ikeja,Brand New,
198,"UBIQUITI:LAP-120 5 GHZ Airmax AC AP, 16 Dbi, 120 Degrees",125000.0,Networking Products,networking-products,Lagos State,Ikeja,Brand New,
199,Three Lens Security PTZ 4g Security Cameras,90000.0,Security & Surveillance,security-and-surveillance,Abuja (FCT),Central Business District,,
200,New Acer Projector,350000.0,TV & DVD Equipment,tv-dvd-equipment,Lagos State,Ikeja,Brand New,Acer
